127.0.0.1 - - [27/Jun/2023:10:08:26 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:32 +0900] "GET /01_first_web/js/default.html HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:32 +0900] "GET /01_first_web/js/temp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:34 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:36 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:48 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:49 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:49 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:49 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:50 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:50 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:50 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:50 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:51 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:51 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:51 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:51 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:51 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:52 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:10:33:52 +0900] "GET /01_first_web/js/variable.html HTTP/1.1" 304 -
